dt s t A/A0 V/V0 v et eb ea ega ev ek ee ebl ebn es
1e-05 0 0 1 1.48412 0.9528 4853.91 1712.96 0 0 3140.95 0 0 27.6801 1685.28 0 
1.72206e-06 100 0.000176237 0.996179 0.874795 0.564851 4495.34 4238.86 0 0.183057 210.092 4.4441 0 2650.95 1587.91 41.7583 
1.78236e-06 200 0.00034978 0.998062 0.94823 0.610537 4132.45 4023.72 0 0.0471099 35.9181 4.33992 0 2461.85 1561.87 68.4256 
1.76194e-06 300 0.000526449 0.998212 0.935478 0.60219 4252.54 4095.08 0 0.0400987 55.7929 3.83543 0 2545.28 1549.81 97.7937 
1.71969e-06 400 0.000699281 0.998407 0.982218 0.632093 3860.24 3746.99 0 0.0318297 4.23749 4.39417 0 2206.36 1540.63 104.589 
1.63853e-06 500 0.000868858 0.998013 1.0545 0.679009 3257.12 3105.49 0 0.0495218 39.8027 6.83248 0 1552.59 1552.9 104.947 
1.74359e-06 600 0.00104314 0.998572 0.986546 0.63472 3811.42 3668.88 0 0.0255557 2.42571 4.1007 0 2165.59 1503.28 135.994 
1.79481e-06 700 0.00121905 0.997556 0.909994 0.586363 4246.42 3963.36 0 0.0748941 108.569 4.0811 0 2493.45 1469.91 170.342 
1.77376e-06 800 0.00139666 0.998438 0.936974 0.602948 4120.5 3858.59 0 0.0305896 53.2355 5.59571 0 2392.36 1466.24 203.048 
1.64077e-06 900 0.00156982 0.999013 1.07712 0.692536 3329.31 3050.96 0 0.0122244 79.7109 7.67004 0 1542.5 1508.46 190.954 
1.65612e-06 1000 0.0017439 0.999005 1.04753 0.673519 3487.06 3236.22 0 0.0124037 30.2788 6.66513 0 1741.4 1494.82 213.884 
1.74338e-06 1100 0.00191273 0.996624 0.916413 0.591327 4215.8 3886.69 0 0.142872 93.6358 3.27527 0 2423.32 1463.37 232.057 
1.75645e-06 1200 0.00208867 0.998309 0.934599 0.601537 4092.05 3764.23 0 0.0358729 57.3234 4.23066 0 2309.43 1454.79 266.231 
1.69683e-06 1300 0.00226021 0.998278 1.01828 0.655424 3560.87 3305.66 0 0.0371705 4.47681 7.22128 0 1812.75 1492.91 243.474 
1.79826e-06 1400 0.00243664 0.997343 0.923516 0.595267 4221.7 3833.36 0 0.0885189 78.3986 3.85693 0 2397.04 1436.32 305.991 
