#Kb Vr Ebend
0.01 0.864006 1.30434
0.01 0.841815 1.31964
0.01 0.819821 1.33397
0.01 0.797766 1.34876
0.01 0.719941 1.16243
0.01 0.658268 1.10916
0.01 0.647433 1.09852
0.01 0.639154 1.08874
0.01 0.637759 1.08479
0.01 0.629627 1.10234
0.01 0.61473 1.10018
0.01 0.548394 1.13563
0.01 0.575314 1.18819
0.01 0.513039 1.12887
0.01 0.4895 1.05783
0.01 0.477859 1.10184
