#Kb Vr Ebend Da1
0.001 0.643149 0.0495725 0.1
0.001 0.64342 0.0496312 0.12
0.001 0.644646 0.0496343 0.14
0.001 0.647922 0.0471505 0.16
0.001 0.647774 0.0460902 0.18
0.001 0.648032 0.046317 0.2
0.001 0.651674 0.0460768 0.22
0.001 0.650764 0.0459138 0.24
0.001 0.649236 0.0468748 0.26
0.001 0.648098 0.0490984 0.28
0.001 0.646056 0.0558929 0.3
