#Kb Vr Ebend Vr_input
0.01 0.782173 0.061401 0.8
0.01 nan nan 0.78
0.01 nan nan 0.76
0.01 nan nan 0.74
0.01 nan nan 0.72
0.01 nan nan 0.7
0.01 0.694718 0.010317 0.68
0.01 0.673965 0.010984 0.66
0.01 nan nan 0.64
0.01 0.627335 0.015865 0.62
0.01 nan nan 0.6
0.01 nan nan 0.58
0.01 nan nan 0.56
0.01 nan nan 0.54
0.01 nan nan 0.52
0.01 nan nan 0.5
