#Kb A/At V/Vt Vr Ebend Da
0.001 0.999024 1.006500 0.695501 0.044337 1
0.001 0.999024 1.007220 0.696000 0.043545 1.02
0.001 0.999014 1.008020 0.696563 0.042770 1.04
0.001 0.999023 1.007940 0.696501 0.042930 1.06
0.001 0.999007 1.008440 0.696864 0.043029 1.08
0.001 0.999031 1.009040 0.697252 0.043048 1.1
0.001 0.999014 1.010060 0.697976 0.042999 1.12
0.001 0.999014 1.010650 0.698381 0.042906 1.14
#0.001 0.999654 1.007300 0.695396 0.045538 1.16
#0.001 1.000840 1.012680 0.697869 0.044973 1.18
0.001 0.999006 1.012090 0.699384 0.042098 1.2
0.001 0.999019 1.013510 0.700354 0.041488 1.22
0.001 0.999016 1.008320 0.696766 0.041466 1.24
