#Kb Vr Ebend Vr_input
0.01 0.780322 0.060516 0.8
0.01 0.753462 0.054000 0.78
0.01 0.703004 0.001401 0.76
0.01 0.702608 0.001700 0.74
0.01 0.701885 0.001492 0.72
0.01 0.699136 0.001832 0.7
0.01 0.696685 0.003814 0.68
0.01 0.677332 0.008499 0.66
0.01 0.652418 0.013717 0.64
0.01 0.628059 0.016500 0.62
0.01 0.602133 0.018040 0.6
0.01 0.565800 0.012874 0.58
0.01 0.557482 0.010327 0.56
0.01 0.547478 0.010423 0.54
0.01 0.533416 0.012927 0.52
0.01 0.516785 0.016912 0.5
