#Kb A/At V/Vt Vr Ebend Da
0.001 0.999049 1.010650 0.649763 0.046483 1.14
0.001 0.999055 1.010710 0.649796 0.046703 1.16
0.001 0.999053 1.012130 0.650712 0.046578 1.18
0.001 0.999057 1.012790 0.651132 0.046458 1.2
0.001 0.999006 1.015650 0.653022 0.045710 1.25
