#Kb A/At V/Vt Vr Ebend Da
0.001 0.999020 1.009790 0.649236 0.046232 1.12
0.001 0.999034 1.010620 0.649761 0.046427 1.14
0.001 0.999050 1.011270 0.650164 0.046441 1.16
0.001 0.999010 1.012090 0.650730 0.046436 1.18
0.001 0.999002 1.012480 0.650989 0.046257 1.2
#0.001 1.000550 1.013000 0.649806 0.052006 1.22
0.001 0.999060 1.014700 0.652357 0.045718 1.25
0.001 0.999019 1.009540 0.649077 0.045159 1.3
