#Kb A/At V/Vt Vr Ebend Da
0.001 0.999006 1.008730 0.596041 0.050891 1.1
0.001 0.999028 1.009130 0.596255 0.051333 1.12
0.001 0.999050 1.010120 0.596819 0.052163 1.16
0.001 0.999045 1.011840 0.597839 0.052784 1.2
#0.001 1.000450 1.012150 0.596770 0.058896 1.3
0.001 0.999096 1.020420 0.602863 0.051818 1.35
#0.001 1.000230 1.011540 0.596599 0.055028 1.4
