#Kb A/At V/Vt Vr Ebend Da
0.001 0.999034 1.003610 0.502534 0.055349 1
0.001 0.999046 1.004100 0.502772 0.056056 1.05
0.001 0.999015 1.004640 0.503064 0.057782 1.1
0.001 0.999024 1.005220 0.503345 0.059499 1.15
0.001 0.999028 1.005620 0.503545 0.061242 1.2
0.001 0.999027 1.006370 0.503921 0.062991 1.25
#0.001 0.999016 1.006790 0.504136 0.064420 1.3
#0.001 0.999031 1.007580 0.504524 0.065888 1.35
#0.001 0.999048 1.008630 0.505036 0.066963 1.4
#0.001 0.999605 1.009220 0.504910 0.069269 1.45
#0.001 0.998799 1.010570 0.506196 0.069431 1.5
#0.001 1.000090 1.005960 0.502908 0.075954 1.55
#0.001 0.999862 1.010630 0.505417 0.079612 1.6
