#Kb Vr Ebend Vr_input
0.010000 0.794845 0.030454 0.800000
0.010000 0.772880 0.031252 0.780000
0.010000 0.688684 0.009276 0.680000
0.010000 0.676856 0.011257 0.660000
0.010000 0.659958 0.014987 0.640000
0.010000 0.640259 0.019920 0.620000
0.010000 0.618973 0.025132 0.600000
0.010000 0.597653 0.030159 0.580000
0.010000 0.576607 0.034941 0.560000
0.010000 0.557768 0.039533 0.540000
0.010000 0.542140 0.044003 0.520000
0.010000 0.527408 0.049834 0.500000
