#Kb A/At V/Vt Vr Ebend Da
0.001 0.999005 1.016730 0.600768 0.053436 1.3
0.001 0.999004 1.020630 0.603075 0.052339 1.35
#0.001 0.999004 1.011340 0.597581 0.052105 1.4
