#Kb A/At V/Vt Vr Ebend Da
0.001 0.999000 1.001480 0.501494 0.055676 1
0.001 0.999125 1.001780 0.501547 0.056310 1.05
0.001 0.999002 1.001970 0.501735 0.058148 1.1
0.001 0.999003 1.001990 0.501746 0.059909 1.15
0.001 0.999001 1.002390 0.501945 0.061704 1.2
0.001 0.999003 1.002720 0.502113 0.063383 1.25
0.001 0.999001 1.002700 0.502100 0.065092 1.3
0.001 0.999002 1.003010 0.502257 0.066946 1.35
0.001 0.999008 1.003730 0.502614 0.067988 1.4
0.001 0.999002 1.003960 0.502734 0.069068 1.45
#0.001 0.999007 1.003420 0.502460 0.071940 1.5
