#Kb Vr Ebend Da1
0.001 0.648313 0.0475575 0.22
0.001 0.650926 0.0457574 0.24
0.001 0.649056 0.0467539 0.26
0.001 0.648541 0.048943 0.28
0.001 0.646694 0.0523318 0.3
