#Kb Vr Ebend Da1 H1
0.001000 0.648313 0.047558 0.220000 13.410627
0.001000 0.650926 0.045757 0.240000 16.348365
0.001000 0.649056 0.046754 0.260000 16.440815
0.001000 0.648541 0.048943 0.280000 16.522297
0.001000 0.646694 0.052332 0.300000 16.656278
