#Kb Vr Ebend
0.02 0.737474 0.0386152
0.02 0.712166 0.0112987
0.02 0.707712 0.00700412
0.02 0.715446 0.0158878
0.02 0.716391 0.021149
0.02 0.725266 0.120202
0.02 0.713849 0.0246387
0.02 0.702623 0.0268424
0.02 0.593725 0.0575957
0.02 0.578401 0.039452
0.02 0.58683 0.0434746
0.02 0.566266 0.029993
0.02 0.575607 0.0447416
0.02 0.566359 0.0424094
0.02 0.547004 0.0387876
0.02 0.481381 0.0814221
