#Kb A/At V/Vt Vr Ebend Da
0.001 0.999016 1.003500 0.552738 0.052332 1
0.001 0.999006 1.003860 0.552945 0.052516 1.05
0.001 0.999027 1.004470 0.553266 0.054071 1.1
0.001 0.999032 1.004940 0.553524 0.055456 1.15
0.001 0.999022 1.005280 0.553716 0.056705 1.2
0.001 0.999036 1.005880 0.554032 0.057829 1.25
#0.001 0.999008 1.008520 0.555511 0.059608 1.35
0.001 0.999023 1.008020 0.555223 0.060231 1.4
#0.001 0.999053 1.012100 0.557447 0.058598 1.45
#0.001 0.999419 1.003660 0.552493 0.061836 1.5
