#Kb Vr Ebend Vr_input
#0.01 0.798004 0.031197 0.8
#0.01 0.775023 0.030183 0.78
#0.01 0.751188 0.028401 0.76
0.01 0.725525 0.021516 0.74
0.01 0.712208 0.016649 0.72
#0.01 0.699206 0.012503 0.7
#0.01 0.689053 0.012118 0.68
#0.01 0.675220 0.013132 0.66
#0.01 0.659270 0.016515 0.64
#0.01 0.640381 0.021464 0.62
#0.01 0.619439 0.027493 0.6
#0.01 0.598092 0.032576 0.58
#0.01 0.577231 0.037858 0.56
#0.01 0.557934 0.042973 0.54
#0.01 0.542665 0.047348 0.52
#0.01 0.528172 0.053006 0.5
