#Kb Vr Ebend Da1
0.001 0.644215 0.0488527 0.1
0.001 0.645361 0.0499771 0.12
0.001 0.647446 0.0484368 0.14
0.001 0.647946 0.0461709 0.16
0.001 0.64792 0.0451551 0.18
0.001 0.647874 0.0454697 0.2
#0.001 0.64796 0.0470164 0.22
#0.001 0.650558 0.0455309 0.24
