#Kb Vr Ebend Da1 H1
0.001000 0.644215 0.048853 0.100000 7.415958
0.001000 0.645361 0.049977 0.120000 10.539302
0.001000 0.647446 0.048437 0.140000 12.997340
0.001000 0.647946 0.046171 0.160000 13.023363
0.001000 0.647920 0.045155 0.180000 13.042739
#0.001000 0.647874 0.045470 0.200000 13.071381
#0.000000 0.647960 0.047016 0.220000 13.126141
#0.000000 0.650558 0.045531 0.240000 0.000000
