#Kb A/At V/Vt Vr Ebend Da
0.001 0.999003 0.000000 0.000000 0.047164 1
0.001 0.999003 0.000000 0.000000 0.046205 1.05
0.001 0.999001 0.000000 0.000000 0.046944 1.1
0.001 0.999003 0.000000 0.000000 0.047219 1.12
0.001 0.999003 0.000000 0.000000 0.047376 1.14
0.001 0.999003 0.000000 0.000000 0.047498 1.16
0.001 0.999004 0.000000 0.000000 0.047671 1.18
0.001 0.999004 0.000000 0.000000 0.047530 1.2
0.001 0.999004 0.000000 0.000000 0.047422 1.22
0.001 0.999004 1.015330 0.652815 0.046955 1.25
0.001 0.999005 1.017310 0.654089 0.045620 1.3
