#Kb A/At V/Vt Vr Ebend Da
0.001 0.999029 0.000000 0.000000 0.049857 1
0.001 0.999035 1.008440 0.595839 0.049572 1.05
#0.001 0.999021 1.008850 0.596096 0.050881 1.1
#0.001 0.999005 0.000000 0.000000 0.051380 1.12
0.001 0.999023 0.000000 0.000000 0.051776 1.14
#0.001 0.999036 0.000000 0.000000 0.052188 1.16
0.001 0.999039 0.000000 0.000000 0.052595 1.18
#0.001 0.999031 0.000000 0.000000 0.052877 1.2
0.001 0.999044 1.012700 0.598352 0.053027 1.22
0.001 0.999043 1.014190 0.599230 0.053165 1.25
0.001 0.999006 1.014990 0.599738 0.053515 1.3
#0.001 0.999060 1.019960 0.602628 0.051931 1.35
