#Kb A/At V/Vt Vr Ebend Da
0.001 0.999004 1.006560 0.695566 0.044289 1
0.001 0.999002 1.006940 0.695831 0.043462 1.02
0.001 0.999001 1.007690 0.696348 0.042779 1.04
0.001 0.999001 1.008170 0.696679 0.042906 1.06
0.001 0.999002 1.008430 0.696860 0.043013 1.08
0.001 0.999004 1.008690 0.697040 0.043094 1.1
0.001 0.999002 1.009740 0.697766 0.043069 1.12
0.001 0.999003 1.010230 0.698103 0.042955 1.14
0.001 0.999004 1.011170 0.698750 0.042754 1.16
0.001 0.999004 1.012280 0.699520 0.042465 1.18
0.001 0.999003 1.012820 0.699895 0.042077 1.2
0.001 1.000240 1.007170 0.694705 0.067848 1.22
#0.001 0.000000 0.000000 0.000000 0.000000 1.24
