#Kb Vr Ebend
0.001 0.200071 0.0894882
0.001 0.249959 0.052466
0.001 0.300387 0.0484571
0.001 0.350038 0.0503811
0.001 0.400104 0.0502557
0.001 0.450046 0.050659
0.001 0.499984 0.0551237
0.001 0.550703 0.052118
0.001 0.559684 0.05153
0.001 0.570136 0.0508588
0.001 0.580647 0.0501683
0.001 0.590253 0.0495267
0.001 0.599705 0.0489332
0.001 0.610601 0.0481931
0.001 0.61986 0.0476662
0.001 0.630503 0.0469608
0.001 0.640649 0.0462808
0.001 0.649818 0.0456941
0.001 0.660199 0.0450243
#0.001 0.670454 0.0437181
