#Kb A/At V/Vt Vr Ebend Da
0.001 0.999049 1.006650 0.695582 0.043531 1
0.001 0.999031 1.007030 0.695859 0.042652 1.02
0.001 0.999041 1.007720 0.696327 0.042246 1.04
0.001 0.999019 1.007890 0.696472 0.042359 1.06
0.001 0.999023 1.008730 0.697044 0.042436 1.08
0.001 0.999031 1.009010 0.697233 0.042481 1.1
0.001 0.999017 1.009800 0.697788 0.042431 1.12
0.001 0.999025 1.010190 0.698052 0.042307 1.14
0.001 0.999011 1.011260 0.698809 0.042025 1.16
0.001 0.999041 1.012010 0.699293 0.041779 1.18
0.001 0.999044 1.012830 0.699856 0.041324 1.2
0.001 0.999046 1.014110 0.700740 0.040767 1.22
0.001 0.999049 1.005980 0.695115 0.041087 1.24
