#Kb Vr Ebend Da1 H1
0.001000 0.000000 0.049322 0.100000 7.494814
0.001000 0.000000 0.049375 0.120000 9.343792
0.001000 0.000000 0.049351 0.140000 10.281818
0.001000 0.000000 0.046941 0.160000 13.032665
0.001000 0.000000 0.045910 0.180000 13.082863
0.001000 0.000000 0.046111 0.200000 13.152456
0.001000 0.000000 0.047561 0.220000 13.221562
0.001000 0.000000 0.045707 0.240000 16.477771
0.001000 0.000000 0.046718 0.260000 16.512483
0.001000 0.000000 0.048898 0.280000 16.546805
0.001000 0.000000 0.052231 0.300000 16.749589
