#Kb Vr Ebend
0.01 0.998254 0.250205
0.01 0.956103 0.269931
0.01 0.899938 0.295705
0.01 0.848675 0.319794
0.01 0.798876 0.344561
0.01 0.752642 0.37013
0.01 0.697549 0.418641
0.01 0.643908 0.448007
0.01 0.590994 0.481725
0.01 0.537567 0.513649
0.01 0.461519 0.497872
0.01 0.409594 0.497979
0.01 0.359521 0.500858
0.01 0.310206 0.499047
0.01 0.258244 0.498191
0.01 0.200446 0.463716
