#Kb A/At V/Vt Vr Ebend Da
0.001 0.999003 1.006110 0.695254 0.044562 1
0.001 0.999004 1.007210 0.696013 0.043744 1.02
0.001 0.999001 1.007280 0.696064 0.042952 1.04
0.001 0.999001 1.007760 0.696397 0.043096 1.06
0.001 0.999003 1.008530 0.696928 0.043177 1.08
0.001 0.999003 1.009050 0.697288 0.043233 1.1
0.001 0.999004 1.009790 0.697799 0.043239 1.12
0.001 0.999004 1.010290 0.698142 0.043146 1.14
0.001 0.999003 1.011050 0.698669 0.042979 1.16
0.001 0.999003 1.011650 0.699085 0.042720 1.18
0.001 0.999002 1.012590 0.699733 0.042345 1.2
0.001 0.999003 1.013800 0.700572 0.041772 1.22
#0.001 0.999101 1.004760 0.694221 0.049733 1.24
