#Kb Vr Ebend
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 0.688028 0.0139657
0.02 0.669931 0.0194348
0.02 0.639285 0.0296492
0.02 0.604678 0.034481
0.02 0.561002 0.0172073
0.02 0.556808 0.0161478
0.02 0.551006 0.0164767
0.02 0.541782 0.0187599
0.02 0.529084 0.0236348
