#Kb Vr Ebend Da1 H1
0.001000 0.642224 0.049312 0.100000 7.487173
#0.001000 0.647912 0.046305 0.170000 13.136606
0.001000 0.647857 0.045927 0.180000 13.116781
#0.001000 0.648026 0.045864 0.190000 13.115697
0.001000 0.647916 0.046123 0.200000 13.112215
#0.001000 0.647941 0.046684 0.210000 13.101868
0.001000 0.652234 0.045863 0.220000 15.710997
#0.001000 0.651010 0.045692 0.230000 16.421397
0.001000 0.650242 0.045767 0.240000 16.432543
0.001000 0.646469 0.052233 0.300000 16.706622
