#Kb Vr Ebend
0.02 0.725169 0.0959386
0.02 0.712098 0.0128822
0.02 0.745566 0.0469691
0.02 0.725526 0.0292614
0.02 0.736944 0.0948067
0.02 0.72594 0.0486924
0.02 0.714751 0.0217423
0.02 0.60607 0.0723801
0.02 0.607849 0.0764478
0.02 0.610265 0.0834688
0.02 0.593605 0.0614396
0.02 0.581841 0.0520562
0.02 0.580643 0.0563118
0.02 0.566088 0.0333906
0.02 0.547057 0.0364077
0.02 0.533211 0.0431183
