#Kb Vr Ebend
#0.01 0.686707 0.516761
#0.01 0.679229 0.503556
0.01 0.60612 0.499723
0.01 0.643137 0.502655
0.01 0.590786 0.497981
0.01 0.576868 0.5014
0.01 0.568979 0.497307
0.01 0.533254 0.495442
0.01 0.496327 0.501443
