#Kb Vr Ebend Da1
0.001 0.643605 0.0499326 0.1
0.001 0.644054 0.0497855 0.12
0.001 0.64778 0.0492336 0.14
0.001 0.647712 0.0469681 0.16
0.001 0.647881 0.045966 0.18
0.001 0.647886 0.0461671 0.2
0.001 0.648436 0.0475492 0.22
0.001 0.648773 0.0497146 0.24
0.001 0.649531 0.0471492 0.26
0.001 0.647651 0.0498093 0.28
0.001 0.645989 0.0537591 0.3
