#Kb Vr Ebend Da1 H1
0.001000 0.643605 0.049933 0.100000 7.861637
0.001000 0.644054 0.049786 0.120000 8.889268
0.001000 0.647780 0.049234 0.140000 12.997625
0.001000 0.647712 0.046968 0.160000 13.019402
0.001000 0.647881 0.045966 0.180000 13.041300
0.001000 0.647886 0.046167 0.200000 13.055849
#0.001000 0.648436 0.047549 0.220000 13.453566
#0.001000 0.648773 0.049715 0.240000 14.092022
#0.001000 0.649531 0.047149 0.260000 16.388046
#0.001000 0.647651 0.049809 0.280000 16.408352
#0.001000 0.645989 0.053759 0.300000 16.617217
