#Kb Vr Ebend Da1 H1
0.001000 0.643468 0.049402 0.120000 8.339773
0.001000 0.645173 0.049359 0.140000 10.509514
0.001000 0.647883 0.046930 0.160000 13.038096
#0.001000 0.647921 0.045993 0.180000 13.102667
#0.001000 0.648334 0.046288 0.200000 13.259545
#0.001000 0.648403 0.047536 0.220000 13.437694
#0.001000 0.649670 0.045867 0.240000 16.460692
0.001000 0.648719 0.046786 0.260000 16.528132
0.001000 0.647274 0.049252 0.280000 16.631897
#0.001000 0.321739 0.375752 0.300000 0.000000
