#Kb Vr Ebend Da1 H1
0.001000 0.647867 0.045542 0.200000 13.061832
#0.000000 0.648011 0.046115 0.210000 13.066862
0.001000 0.647996 0.047030 0.220000 13.115927
#0.000000 0.648674 0.047916 0.230000 13.727484
#0.001000 0.650729 0.045243 0.240000 16.321167
#0.001000 0.649100 0.046620 0.260000 16.429596
#0.001000 0.648203 0.048593 0.280000 16.508855
#0.001000 0.646891 0.052014 0.300000 16.642902
