#Kb Vr Ebend Vr_input
0.01 0.780859 0.060776 0.8
0.01 0.747722 0.022900 0.78
0.01 0.706919 0.004129 0.76
0.01 0.736490 0.020391 0.74
0.01 0.732682 0.047331 0.72
0.01 0.717702 0.013429 0.7
0.01 0.697618 0.010554 0.68
0.01 0.674706 0.011039 0.66
0.01 0.651440 0.014283 0.64
0.01 0.604537 0.038606 0.62
0.01 0.591470 0.030430 0.6
0.01 0.572502 0.020926 0.58
0.01 0.558699 0.014559 0.56
0.01 0.547885 0.016539 0.54
0.01 0.485785 0.052691 0.52
0.01 0.517208 0.026211 0.5
