#Kb Vr Ebend
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 0.688589 0.0180938
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
0.02 nan nan
