#Kb A/At V/Vt Vr Ebend Da
0.001 0.999930 1.002640 0.501372 0.065128 1.3
0.001 1.003520 1.008890 0.501796 0.066901 1.35
0.001 0.999938 1.003990 0.502040 0.067785 1.4
0.001 0.999297 1.003160 0.502109 0.069047 1.45
