#Kb Vr Ebend Vr_input
0.01 0.800222 0.030542 0.8
0.01 0.776938 0.029729 0.78
0.01 0.752662 0.027529 0.76
0.01 0.726917 0.024248 0.74
0.01 0.697612 0.00942994 0.72
0.01 0.695893 0.009085 0.7
0.01 0.688272 0.009245 0.68
0.01 0.675832 0.011313 0.66
0.01 0.659999 0.014647 0.64
0.01 0.640948 0.019552 0.62
0.01 0.620426 0.024819 0.6
0.01 0.599278 0.029992 0.58
0.01 0.578564 0.034435 0.56
0.01 0.560050 0.038760 0.54
0.01 0.544410 0.043358 0.52
0.01 0.530170 0.047847 0.5
