#Kb Vr Ebend Vr_input
0.01 0.798220 0.031301 0.8
0.01 0.775127 0.030392 0.78
0.01 0.751074 0.028203 0.76
0.01 0.724472 0.024483 0.74
0.01 0.707082 0.013786 0.72
0.01 0.696306 0.010695 0.7
0.01 0.689663 0.012446 0.68
0.01 0.675758 0.013004 0.66
0.01 0.659261 0.016506 0.64
0.01 0.640413 0.021254 0.62
0.01 0.619713 0.027050 0.6
0.01 0.598264 0.032559 0.58
0.01 0.576966 0.038657 0.56
0.01 0.557667 0.043025 0.54
0.01 0.538015 0.065366 0.52
0.01 0.525125 0.069210 0.5
