#Kb A/At V/Vt Vr Ebend Da
0.001 1.000630 1.008060 0.553915 0.059037 1.3
0.001 0.999455 1.006580 0.554071 0.059889 1.35
0.001 0.999119 1.000640 0.551078 0.060256 1.45
