1.15	0.5	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr05_Kv5/sphere/1.15/200000.off
1.16	0.59	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr059/sphere/1.16/200000.off
1.16	0.642	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr0642/sphere/1.16/200000.off
1.16	0.69	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr069/sphere/1.16/200000.off
1.16	0.7	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr07/sphere/1.16/200000.off
1.16	0.8	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr08/sphere/1.16/200000.off
1.18	0.59	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr059/sphere/1.18/200000.off
1.18	0.642	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr0642/sphere/1.18/200000.off
1.18	0.69	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr069/sphere/1.18/200000.off
1.18	0.7	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr07/sphere/1.18/200000.off
1.18	0.8	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr08/sphere/1.18/200000.off
1.2	0.55	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr055_Kv2/sphere/1.2/200000.off
1.2	0.55	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr055/sphere/1.2/200000.off
1.2	0.59	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr059/sphere/1.2/200000.off
1.2	0.5	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr05_Kv5/sphere/1.2/200000.off
1.2	0.642	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr0642/sphere/1.2/200000.off
1.2	0.69	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr069/sphere/1.2/200000.off
1.2	0.7	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr07/sphere/1.2/200000.off
1.2	0.8	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr08/sphere/1.2/200000.off
1.22	0.59	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr059/sphere/1.22/200000.off
1.22	0.642	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr0642/sphere/1.22/200000.off
1.22	0.69	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr069/sphere/1.22/200000.off
1.22	0.7	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr07/sphere/1.22/200000.off
1.22	0.8	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr08/sphere/1.22/200000.off
1.24	0.69	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr069/sphere/1.24_cont/200000.off
1.25	0.55	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr055_Kv2/sphere/1.25_cont/200000.off
1.25	0.55	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr055/sphere/1.25/200000.off
1.25	0.59	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr059/sphere/1.25/200000.off
1.25	0.5	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr05_Kv5/sphere/1.25/200000.off
1.25	0.642	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr0642/sphere/1.25/200000.off
1.3	0.55	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr055_Kv2/sphere/1.3/200000.off
1.3	0.55	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr055/sphere/1.3/200000.off
1.3	0.59	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr059/sphere/1.3_cont/200000.off
1.3	0.5	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr05_Kv5/sphere/1.3/200000.off
1.3	0.642	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr0642/sphere/1.3/200000.off
1.35	0.55	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr055_Kv2/sphere/1.35/200000.off
1.35	0.59	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr059/sphere/1.35_cont/200000.off
1.35	0.5	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr05_Kv5/sphere/1.35_cont/200000.off
1.4	0.55	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr055_Kv2/sphere/1.4/200000.off
1.4	0.59	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr059/sphere/1.4_cont/200000.off
1.4	0.5	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr05_Kv5/sphere/1.4_cont/200000.off
1.45	0.55	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr055_Kv2/sphere/1.45_cont/200000.off
1.45	0.5	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr05_Kv5/sphere/1.45_cont/200000.off
1.5	0.45	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr045/sphere/1.5/022500.off
1.5	0.55	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr055_Kv2/sphere/1.5/200000.off
1.5	0.5	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr05_Kv5/sphere/1.5_cont/200000.off
1.55	0.45	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr045/sphere/1.55/200000.off
1.6	0.45	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr045/sphere/1.6/200000.off
1.65	0.45	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr045/sphere/1.65/200000.off
1.67	0.5	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr05/sphere/1.67/200000.off
1.7	0.45	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr045/sphere/1.7/200000.off
1.75	0.45	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr045/sphere/1.75/200000.off
1.8	0.31	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr031/sphere/1.8/200000.off
1.8	0.45	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr045/sphere/1.8/200000.off
1.83	0.45	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr045/sphere/1.83/200000.off
1.85	0.31	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr031/sphere/1.85/200000.off
1.85	0.45	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr045/sphere/1.85/200000.off
1.9	0.31	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr031/sphere/1.9/200000.off
1.9	0.45	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr045/sphere/1.9/200000.off
1.95	0.31	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr031/sphere/1.95/200000.off
2	0.31	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr031/sphere/2/200000.off
2.05	0.31	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr031/sphere/2.05/200000.off
2.1	0.31	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr031/sphere/2.1/200000.off
2.15	0.31	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr031_Kv2/sphere/2.15/500000.off
2.15	0.31	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr031/sphere/2.15/200000.off
2.2	0.31	example/min/helfrich_xin_explore/bc_Nt5120/juelicher_Vr031/sphere/2.2/200000.off
