#Kb A/At V/Vt Vr Ebend Da
0.001 0.999037 1.006600 0.647170 0.046101 1
0.001 0.999003 1.008070 0.648148 0.045437 1.05
0.001 0.999026 0.000000 0.000000 0.046179 1.1
0.001 0.999037 0.000000 0.000000 0.046518 1.12
#0.001 0.999043 0.000000 0.000000 0.047440 1.14
#0.001 0.999044 0.000000 0.000000 0.046719 1.16
#0.001 0.999037 0.000000 0.000000 0.046846 1.18
#0.001 0.999043 0.000000 0.000000 0.046646 1.2
0.001 0.999047 0.000000 0.000000 0.046305 1.22
#0.001 0.999733 1.016470 0.652834 0.054945 1.25
0.001 0.999020 1.009840 0.649274 0.045162 1.3
