#Kb A/At V/Vt Vr Ebend Da
0.001 0.999023 1.006670 0.647234 0.046940 1
0.001 0.999003 1.007840 0.648002 0.046074 1.05
0.001 0.999008 0.000000 0.000000 0.046782 1.1
0.001 0.999040 0.000000 0.000000 0.046996 1.12
0.001 0.999038 0.000000 0.000000 0.047190 1.14
0.001 0.999047 0.000000 0.000000 0.047274 1.16
0.001 0.999035 0.000000 0.000000 0.047325 1.18
0.001 0.999037 0.000000 0.000000 0.047268 1.2
0.001 0.999024 0.000000 0.000000 0.047138 1.22
0.001 0.999003 1.014290 0.652150 0.046897 1.25
#0.001 0.999044 1.012480 0.650944 0.045698 1.3
