#Kb A/At V/Vt Vr Ebend Da
0.001 0.999003 1.007050 0.595049 0.048761 1
0.001 0.999054 1.007980 0.595553 0.048851 1.05
0.001 0.999043 1.008390 0.595804 0.050153 1.1
0.001 0.999034 1.008550 0.595909 0.050598 1.12
0.001 0.999024 1.009800 0.596654 0.050936 1.14
0.001 0.999033 1.009680 0.596576 0.051356 1.16
0.001 0.999018 1.010410 0.597021 0.051650 1.18
0.001 0.999037 1.011500 0.597647 0.051909 1.2
0.001 0.999007 1.012310 0.598153 0.052054 1.22
0.001 0.999033 1.011850 0.597861 0.052621 1.25
0.001 0.999033 1.014000 0.599128 0.052650 1.3
0.001 0.999057 1.019760 0.602508 0.050783 1.35
#0.001 1.000730 1.001990 0.590529 0.053267 1.4
