#Kb A/At V/Vt Vr Ebend Da
0.001 0.999032 1.006250 0.646950 0.045958 1
0.001 0.999030 1.007770 0.647930 0.045391 1.05
0.001 0.999010 0.000000 0.000000 0.046044 1.1
#0.001 0.999019 0.000000 0.000000 0.046399 1.12
#0.001 0.999046 0.000000 0.000000 0.046530 1.14
#0.001 0.999017 0.000000 0.000000 0.047489 1.16
#0.001 0.999037 0.000000 0.000000 0.046734 1.18
#0.001 0.999011 0.000000 0.000000 0.046613 1.2
0.001 0.999054 0.000000 0.000000 0.046448 1.22
0.001 0.999014 1.014090 0.652011 0.046083 1.25
#0.001 0.999015 1.009450 0.649022 0.045370 1.3
