#Kb Vr Ebend Vr_input
0.01 0.799944 0.030513 0.8
0.01 0.776873 0.029748 0.78
0.01 0.752716 0.027691 0.76
0.01 nan nan 0.74
0.01 nan nan 0.72
0.01 0.700045 0.011350 0.7
0.01 0.688323 0.009712 0.68
0.01 0.675838 0.012103 0.66
0.01 0.659775 0.014714 0.64
0.01 0.640345 0.019887 0.62
0.01 0.619946 0.024754 0.6
0.01 0.599066 0.029782 0.58
0.01 0.577983 0.034631 0.56
0.01 0.558728 0.039830 0.54
0.01 0.538374 0.060041 0.52
0.01 0.525290 0.063682 0.5
