#Kb Vr Ebend
0.01 0.646073 0.459706
0.01 0.592818 0.495988
0.01 0.5396 0.529594
0.01 0.465649 0.494817
0.01 0.413963 0.491592
0.01 0.364266 0.501521
0.01 0.312866 0.498972
0.01 0.261553 0.493629
0.01 0.208797 0.491695
