#Kb Vr Ebend
0.001 0.200165 0.0751149
0.001 0.249939 0.0749158
0.001 0.299858 0.0502124
0.001 0.350065 0.0501639
0.001 0.400047 0.0519321
0.001 0.450052 0.0500418
0.001 0.500087 0.0499269
0.001 0.550062 0.0497352
0.001 0.560289 0.0514778
0.001 0.57057 0.0508151
0.001 0.58073 0.0540946
0.001 0.590956 0.0526853
0.001 0.600725 0.0514159
0.001 0.610833 0.0501107
0.001 0.620764 0.0489219
0.001 0.630694 0.0478159
0.001 0.640678 0.0467031
0.001 0.650696 0.0456568
0.001 0.660765 0.044627
0.001 0.670519 0.0443432
