#Kb A/At V/Vt Vr Ebend Da
0.001 0.999003 1.006570 0.647183 0.046867 1
0.001 0.999003 1.007850 0.648012 0.046035 1.05
0.001 0.999004 1.009530 0.649085 0.046744 1.1
0.001 0.999004 0.000000 0.000000 0.047015 1.12
0.001 0.999003 0.000000 0.000000 0.047215 1.14
0.001 0.999004 0.000000 0.000000 0.047343 1.16
0.001 0.999004 1.012210 0.650809 0.047348 1.18
0.001 0.999004 1.012920 0.651269 0.047284 1.2
0.001 0.999004 0.000000 0.000000 0.047150 1.22
0.001 0.999002 1.015090 0.652666 0.046711 1.25
#0.001 0.000000 0.000000 0.000000 0.000000 1.3
