#Kb Vr Ebend Vr_input
0.01 0.782821 0.061806 0.8
0.01 0.755168 0.054422 0.78
0.01 nan nan 0.76
0.01 nan nan 0.74
0.01 nan nan 0.72
0.01 nan nan 0.7
0.01 nan nan 0.68
0.01 0.675448 0.008822 0.66
0.01 0.651965 0.012823 0.64
0.01 0.627888 0.015766 0.62
0.01 0.603651 0.017445 0.6
0.01 0.565240 0.010414 0.58
0.01 0.557609 0.008299 0.56
0.01 0.547340 0.008633 0.54
0.01 0.534138 0.010796 0.52
0.01 0.516974 0.014963 0.5
