#Kb Vr Ebend Vr_input
0.01 0.758510 0.030607 0.8
0.01 0.776055 0.040566 0.78
#0.01 0.757467 0.094459 0.76
0.01 0.748448 0.028063 0.74
#0.01 0.701772 0.001535 0.72
#0.01 0.698530 0.001982 0.7
#0.01 0.699785 0.095378 0.68
#0.01 0.677248 0.009248 0.66
#0.01 0.651066 0.014026 0.64
#0.01 0.596036 0.033388 0.62
#0.01 0.588854 0.024111 0.6
#0.01 0.580627 0.026838 0.58
#0.01 0.560306 0.013250 0.56
#0.01 0.553780 0.018661 0.54
#0.01 0.536084 0.019516 0.52
#0.01 0.517585 0.024530 0.5
