#Kb Vr Ebend Vr_input
0.01 0.798543 0.031198 0.8
0.01 0.775442 0.030361 0.78
0.01 0.751080 0.028130 0.76
0.01 0.724734 0.024348 0.74
0.01 0.699361 0.010230 0.72
0.01 0.695719 0.010223 0.7
0.01 0.687698 0.010627 0.68
0.01 0.675447 0.013166 0.66
0.01 0.659499 0.015955 0.64
0.01 0.640808 0.020797 0.62
0.01 0.620196 0.026818 0.6
0.01 0.598207 0.033031 0.58
0.01 0.578050 0.037942 0.56
0.01 0.558663 0.042934 0.54
0.01 0.542655 0.047817 0.52
0.01 0.528123 0.055430 0.5
